id,rate
48471,0.38
47097,0.920000017
53021,1
54013,1
1021,1
51105,1.05
54065,1.5
51105,1.6
51105,1.84
1033,2
47097,3
42019,3
54065,3
47097,3
51113,3.150.000.095
1033,3.200.000.048
1043,4.0
1043,4
55053,4.2
55053,4.2
51105,4.56
51113,5
1043,5.5
55055,5.64
51105,5.76
51167,6
54015,8
54065,10.0
51105,14.72
1097,25.0
4012,0.05
4003,0.06
4019,0.09
37075,0.13
4003,0.16
4003,0.16
37075,0.16
4005,0.235
4003,0.26
4003,0.27
4005,0.34
4003,0.35
4013,0.35
4013,0.36
4025,0.36
4013,0.36
4013,0.36
4013,0.4
4013,0.41
4019,0.43
4013,0.45
4015,0.46
4015,0.46
4015,0.46
4015,0.46
4015,0.46
4013,0.46
4013,0.46
4013,0.46
4025,0.47
4003,0.48
4013,0.48
4013,0.48
4015,0.48
37075,0.48
4003,0.48
0,0.492
4013,0.5
37075,0.51
37075,0.51
4025,0.525
4013,0.525
4013,0.54
4013,0.6
4005,0.6
4019,0.6
4015,0.6
37075,0.62
4019,0.645
4013,0.645
4019,0.654
4003,0.66
37075,0.68
4019,0.69
0,0.7
4003,0.7
4005,0.7
4015,0.7
4025,0.705
4013,0.705
4013,0.72
4013,0.72
37075,0.74
37075,0.74
37075,0.74
4015,0.744
4011,0.75
4013,0.756
4019,0.78
4013,0.8
4019,0.84
4025,0.86
4013,0.86
4019,0.864
4005,0.875
4019,0.875
37075,0.88
4003,0.9
4013,0.9
0,0.9
4013,0.9
4019,0.9
4013,0.9
4013,0.9
4025,0.9
4013,0.9
4013,0.92
4019,0.92
0,0.92
4013,0.92
4013,0.925
4015,0.94
4015,0.95
4015,0.96
4013,0.96
4013,0.96
4013,0.96
4025,0.981
4025,0.99
4003,0.99
4017,1.0
4019,1.0
4013,1.0
4005,1.0
0,1.02
37075,1.02
37075,1.02
37075,1.02
37075,1.02
4019,1.02
4013,1.02
4007,1.02
4013,1.02
4025,1.02
4013,1.02
4013,1.02
4001,1.04
4017,1.04
4013,1.04
4015,1.04
4015,1.04
4013,1.04
4003,1.05
4013,1.05
4005,1.05
0,1.05
4015,1.05
4015,1.05
4013,1.05
0,1.05
4013,1.05
4013,1.05
4013,1.05
4013,1.05
4013,1.05
0,1.05
4007,1.08
4013,1.08
4013,1.08
4013,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
0,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
0,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
4013,1.1
8125,1.116
4013,1.12
4019,1.12
4013,1.12
4013,1.125
4013,1.125
4025,1.125
4013,1.125
4025,1.125
4013,1.15
4013,1.15
4025,1.15
4013,1.15
4013,1.15
4013,1.15
4005,1.15
4019,1.17
4013,1.175
4015,1.18
0,1.18
4005,1.19
4019,1.19
4019,1.2
4005,1.2
4019,1.2
4013,1.2
8125,1.2
8125,1.2
8125,1.2
8125,1.2
8125,1.2
4025,1.2
4025,1.2
4025,1.2
4025,1.2
4013,1.225
4013,1.225
4013,1.225
4013,1.225
37075,1.23
0,1.248
4015,1.25
4015,1.25
8125,1.255
4003,1.26
4005,1.26
4013,1.26
4013,1.278
4019,1.29
4013,1.29
0,1.29
4005,1.292
4013,1.3
4005,1.302
4003,1.32
4017,1.32
4019,1.32
4019,1.33
4019,1.33
4019,1.33
8125,1.336
4013,1.336
4025,1.336
4013,1.34
4003,1.344
4019,1.344
4013,1.344
4005,1.35
4025,1.35
4015,1.35
4019,1.35
4019,1.35
4019,1.35
4019,1.35
4019,1.35
4013,1.35
4013,1.35
4013,1.35
4013,1.35
4005,1.35
4013,1.36
4005,1.36
6087,1.36
4013,1.36
4013,1.36
4013,1.36
4013,1.36
4019,1.38
4013,1.38
4013,1.38
4013,1.38
4019,1.38
4019,1.38
4019,1.38
4019,1.38
4019,1.38
4019,1.38
0,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4012,1.38
4013,1.38
0,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
4013,1.38
8125,1.38
4013,1.38
4025,1.38
4013,1.38
4013,1.38
4013,1.38
4005,1.4
4013,1.4
4013,1.4
4019,1.4
4019,1.4
4019,1.4
4019,1.4
0,1.4
4013,1.4
4013,1.4
4025,1.4
4003,1.4
4013,1.4
4003,1.41
4019,1.41
4013,1.41
4019,1.41
4013,1.41
4013,1.41
4013,1.41
4013,1.41
4019,1.41
4019,1.41
4019,1.41
4015,1.41
4013,1.41
0,1.41
0,1.41
4013,1.41
0,1.41
4013,1.41
0,1.41
4013,1.41
4013,1.41
0,1.41
4013,1.41
4013,1.41
0,1.41
0,1.41
0,1.41
4013,1.41
0,1.41
0,1.41
4005,1.41
4013,1.41
4013,1.41
4013,1.41
0,1.41
4013,1.41
4013,1.41
0,1.41
4005,1.43
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4005,1.44
37075,1.44
4013,1.44
4013,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
4019,1.44
6087,1.44
4013,1.44
4013,1.44
4005,1.44
4013,1.44
4012,1.44
0,1.44
4013,1.44
4013,1.44
0,1.44
4019,1.456
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4013,1.47
4013,1.47
4013,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4019,1.47
4013,1.47
0,1.47
0,1.47
0,1.47
0,1.47
0,1.476
4013,1.476
4013,1.48
4003,1.5
4005,1.5
0,1.5
4013,1.5
4019,1.5
4013,1.5
4019,1.5
4013,1.5
4013,1.5
4013,1.5
4019,1.505
4019,1.505
4019,1.505
4019,1.505
4015,1.52
4019,1.52
4019,1.52
4019,1.52
4019,1.52
4019,1.52
4019,1.52
4019,1.52
4013,1.52
4003,1.52
4005,1.53
4005,1.53
4019,1.53
4005,1.54
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4013,1.56
4019,1.56
4013,1.56
0,1.56
0,1.56
4013,1.568
4019,1.57
4005,1.575
4025,1.575
4019,1.575
4019,1.575
4019,1.575
4019,1.575
4013,1.575
4005,1.575
4025,1.575
4025,1.575
4019,1.58
0,1.58
4019,1.596
8125,1.6
8125,1.6
4005,1.6
4005,1.6
4015,1.6
4017,1.6
4019,1.6
4013,1.61
4013,1.61
4019,1.61
4019,1.61
4019,1.61
4019,1.61
4013,1.61
4013,1.61
4013,1.61
4013,1.61
0,1.61
4013,1.61
0,1.61
4013,1.61
4013,1.61
4013,1.61
4013,1.61
4013,1.61
4013,1.62
4019,1.64
4019,1.64
4013,1.64
4013,1.64
4025,1.645
0,1.645
4025,1.645
4017,1.67
4003,1.68
4019,1.68
4019,1.68
4001,1.68
4013,1.68
4019,1.68
4015,1.68
4013,1.68
4013,1.68
4025,1.68
4025,1.7
4025,1.7
4005,1.7
4013,1.7
4019,1.7
4019,1.7
4005,1.7
4013,1.7
4013,1.7
4019,1.71
4015,1.71
4013,1.71
4025,1.715
4013,1.715
4005,1.715
4013,1.715
4025,1.715
4013,1.715
4019,1.72
4019,1.72
4019,1.72
4019,1.72
4013,1.72
4013,1.72
4017,1.72
0,1.72
0,1.72
0,1.72
4019,1.73
4019,1.75
37075,1.75
4013,1.75
4013,1.75
0,1.75
0,1.75
4013,1.75
4013,1.75
4013,1.75
0,1.75
0,1.75
0,1.75
4013,1.75
4013,1.75
0,1.75
4013,1.75
0,1.75
4013,1.75
4019,1.75
4019,1.75
4019,1.75
0,1.75
4013,1.75
4013,1.75
6087,1.76
4013,1.76
4019,1.76
4019,1.76
4015,1.76
4013,1.76
4013,1.76
4013,1.76
4013,1.76
4013,1.76
0,1.792
4013,1.792
8125,1.792
4013,1.792
4017,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4015,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
4013,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
4013,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
4019,1.8
6087,1.8
4013,1.8
4025,1.8
4013,1.8
4013,1.8
4013,1.8
4013,1.8
4013,1.8
4013,1.8
4013,1.8
4013,1.8
4013,1.8
0,1.8
4013,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
0,1.8
4013,1.8
4013,1.802
4013,1.82
4013,1.82
4013,1.84
4019,1.84
4019,1.84
4005,1.84
37075,1.84
4017,1.84
4017,1.84
4013,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
0,1.84
